text,label
"Ana caddenin yarısı karanlık yürümek korkutucu, ayrıca karanlıkta gencler toplanıyor güvensiz",Sokak Aydınlatması
akşam olunca her yer zifiri karanlık. Bir an önce ilgilenilsin.,Sokak Aydınlatması
KOSEDEKI BAKKALIN ONUNDE INSAAT HER GUN GECE GEC SAATE KADAR CALISIYOR.,Gürültü ve Çevre Kirliliği
"Geri dönüşüm kutuları aylardır boşaltılmıyor, ayrıca çöp konteynerleri ağzına kadar dolmuş taşıyor.",Çöp ve Temizlik
"Park bakımsız her yer çöp ve cam kırığı, ayrıca çocuk parkındaki salıncaklar kırık tehlikeli.",Park ve Yeşil Alan
Moloz dökülen alan toz ve koku saçıyor.,Gürültü ve Çevre Kirliliği
"Yaya geçidi silinmiş hiç görünmüyor, yaşanmıyor artık. Çözülmesini bekliyoruz",Yol ve Kaldırım
Sefer saatleri tutmuyor saatlece bekliyoruz. Şimdiden teşekkürler.,Toplu Ulaşım
minibüsler tıka basa dolu binilmiyor. Gereğinin yapılmasını rica ederim,Toplu Ulaşım
Atık konteyneri yanlış yere konmuşşş kapımızı kapatıor. Çözülmesini bekliyoruz.,Çöp ve Temizlik
"Allah aşkına, ölü bir hayvan var günlerdir kaldıran yok. Acil çözün şunu",Başıboş Hayvanlar
sokağımızda çöpler birikti leş gibi kokuyor.,Çöp ve Temizlik
"pes yani, Caminin arka sokağında sorun var; konteyner kırılmış çöpler etrafa saçılıyor.",Çöp ve Temizlik
bizim mahallede sorun var; bordür taşları çıkmış ayağımız takılıyor.,Yol ve Kaldırım
"Bıktık artık, okul yolunda ışık yok çocuklar korkuyor.",Sokak Aydınlatması
Ağaçlar budanmamış dallar sarkıyor,Park ve Yeşil Alan
Yahu geceleri havlamalar her gün uyutmuyor.,Başıboş Hayvanlar
Mahallemizde sorun var; su sayaci arizali fatura uctu.,Su ve Kanalizasyon
"PES YANI, ARA SOKAKTA SORUN VAR; ÇITLER KIRIK PARK SOKAĞA AÇILMIŞ TEHLIKELI",Park ve Yeşil Alan
cocukkk parkının yanında fareler türedi çünkü çöpler ortada,Çöp ve Temizlik
"Yeşil alan akşamları sulanmıyor çimler kurudu, böyle olmaz ki. Şimdiden teşekkürler.",Park ve Yeşil Alan
Yahu otobüs çok eski sürekli arızalanıyor.,Toplu Ulaşım
akşam olunca her yer zifiri karanlık. Şimdiden teşekkürler.,Sokak Aydınlatması
"Ya artık yeter, evimizin tam önünde başıboş köpekler bir aydır korku saçıyor",Başıboş Hayvanlar
"elektrik diregi yana yatmis isik da yok, kimse ilgilenmiyor. Bu kadarina da pes!",Sokak Aydınlatması
Cocuk parkının yanında fareler türedi çünkü çöpler ortada. Bir an önce ilgilenilsin.,Çöp ve Temizlik
"Bıktık artık, sürü halinde köpekler çocuklara havlıyor.",Başıboş Hayvanlar
"Valla bıktık, ara sokakta köpekler peşimize takılıyor korkuyoruz. Ne zaman çözeceksiniz?",Başıboş Hayvanlar
"Of ya, otobüs seferleri akşam çok seyrek, ayrıca sokağımızda yeni mahalleye ulaşım yok.",Toplu Ulaşım
"rezalet. bordür taşları çıkmış ayağımız takılıyor, ayrıca bordür taşları çıkmış ayağımız takılıyor.",Yol ve Kaldırım
"bakın, rögar tıkanmış yağmur suyu çekilmiyor.",Su ve Kanalizasyon
konteyner kırılmış çöpler etrafa saçılıyor.,Çöp ve Temizlik
"Ana cadde uzerinde inşaat aylardır gece geç saate kadar çalşıyor, ayrıca site girişinde hurdacılar sabaha karşı gürültü yapıyor.",Gürültü ve Çevre Kirliliği
"açık alanda atık yakılıyor koku dayanılmaz, ayrıca kafelerin masaları geceleri çok gürültülü.",Gürültü ve Çevre Kirliliği
Konteyner kırılmış çöpler etrafa saçılıyor,Çöp ve Temizlik
yaralı bir hayvan var ilgilenen yok.,Başıboş Hayvanlar
Okul servisi gibi otobüs sabah hep dolu geliyor.,Toplu Ulaşım
"Valla bıktık, otobüs çok eski sürekli arızalanıyor. Artık bir şey yapın!",Toplu Ulaşım
Geri dönüşüm kutuları aylardır boşaltılmıyor. Artık bir şey yapın,Çöp ve Temizlik
Yolun ortasında koca bir çukur açıldı.,Yol ve Kaldırım
"Bıktık artık, yeşil alan haftalardır sulanmıyor çimler kurudu, ayrca oyun grubunun zemini bozuk çocuklar düşüyor.",Park ve Yeşil Alan
Yagmurdaa yol gole donuyor su birikiyor. Gereginin yapilmasini rica ederim.,Yol ve Kaldırım
"Ya artık yeter, sanayi atıkları dereye boşaltılıyor. Artık bir şey yapın!",Gürültü ve Çevre Kirliliği
"yeter ama, metro cikisinda su basinci cok dusukkk su gelmiyor. Vergimizi ne icin veriyoruz?",Su ve Kanalizasyon
bir hayvan kapana sıkışmış kurtaran lazım.,Başıboş Hayvanlar
Mahallemizde sorun var; sokak hayvanları aç bakan yok.,Başıboş Hayvanlar
"Valla bıktık, tuvalet geri tepiyor kanalizasyon dolu, ayrıca rögar tıkanmış yağmur suyu çekilmiyor.",Su ve Kanalizasyon
"YENI DIREKLERE IŞIK TAKILMAMIŞ, KIMSE ILGILENMIYOR. YARDIMCI OLURSANIZ ÇOK SEVINIRIZ.",Sokak Aydınlatması
"Valla bıktık, spor aletleri bozulmuş kimse tamirr etmiyor. Çözülmesini bekliyoruz",Park ve Yeşil Alan
Köşedeki bakkalin önünde sorun var; sokak çeşmesi boşuna akıyor su israf oluyor.,Su ve Kanalizasyon
ana caddenin yarisi karanlik yurumek korkutucu.,Sokak Aydınlatması
"Pes yani, oyun grubunun zemini bozuk çocuklar düşüyor. Artık bir şey yapın!",Park ve Yeşil Alan
"cop kamyonu bir aydir mahalleye ugramiyor, kimse ilgilenmiyor. Gereginin yapilmasini rica ederim",Çöp ve Temizlik
Yagmur suyu giderleri cople dolmus. Ilginiziii rica ediyorum.,Su ve Kanalizasyon
"Bıktık artık, caminin arka sokağında mazgal kapağı yok açık duruyor, ayrıca kar yağınca yollar tuzlanmadı buz tuttu.",Yol ve Kaldırım
yahu Caminin arka sokağında sorun var; okul servisi gibi otobüs sabah hep dolu geliyor.,Toplu Ulaşım
"Bakın, site girişinde su basıncı çok düşük su gelmiyor. Acil çözün şunu!",Su ve Kanalizasyon
"bakın, köpekler çöpü dağıtıyor ortalık kirleniyor, ayrıca sokak hayvanları aç bakan yok",Başıboş Hayvanlar
"valla biktik, yarali bir hayvan var ilgilenen yok.",Başıboş Hayvanlar
"Kafelerin masaları geceleri çok gürültülü, ayrıca apartmanın önünde inşaat aylardır gece geç saate kadar çalışıyor.",Gürültü ve Çevre Kirliliği
konteyner kırılmış çöpler etrafa saçılıyor. Konunun takip edilmesini istiyoruz.,Çöp ve Temizlik
"Pes yani, köpekler çöpü dağıtıyor sabah berbat oluyor, ayrıca çöpler sürekli toplanmıyor.",Çöp ve Temizlik
"Allah aşkına, geceleri havlamalar geceleri uyutmuyor.",Başıboş Hayvanlar
Çöp konteynerleri ağzına kadar dolmuş taşıyor. İlgili ekip gönderilsin lütfen,Çöp ve Temizlik
Açık alanda atık yakılıyor koku dayanılmaz. Bir an önce ilgilenilsin.,Gürültü ve Çevre Kirliliği
"yeter ama, Caddemizde sorun var; su geceleri kesik haber bile vermiyorlar.",Su ve Kanalizasyon
"of ya, asfalt her hafta bozuk araba alttan vuruyor, ayrıca yağmurda yol göle dönüyor su birikiyor",Yol ve Kaldırım
kamyonlar geceleri cadde ortasında çalışır halde bekliyor. Ne zaman çözeceksiniz?,Gürültü ve Çevre Kirliliği
"Bakın, kaldırım karanlık düşüp yaralandık, ayrıca karanlıkta gencler toplanıyor güvensiz.",Sokak Aydınlatması
Şoför durakta durmadan geçti. Şimdiden teşekkürler.,Toplu Ulaşım
"bakın, bordür taşları çıkmış ayağımız takılıyor. Konunun takip edilmesini istiyoruz.",Yol ve Kaldırım
Rezalet. Ara sokakta sorun var; caminin arka sokağında durağa otobüs hiç uğramıyor.,Toplu Ulaşım
hat iptal olmuş kimse duyurmamış. Gereğinin yapılmasını rica ederim,Toplu Ulaşım
gece hattı yok eve dönemiyoruz. Artık bir şey yapın,Toplu Ulaşım
Park lambalarııı yanmıyor akşam kullanılmıyor,Park ve Yeşil Alan
"ya artık yeter, kart dolum noktası sürekli çalışmıyor. İlgili ekip gönderilsin lütfen.",Toplu Ulaşım
Rezalet. Site girişinde sorun var; yağmurda yol göle dönüyor su birikiyor.,Yol ve Kaldırım
Caddemizde yol çökmüş araçlar zarar görüyor.,Yol ve Kaldırım
"valla bıktık, bizim mahallede kedilere mama su konmuyor. Acil çözün şunu!",Başıboş Hayvanlar
"Valla bıktık, sokağın tamamı kapkaranlık bir tane lamba yanmıyor, ayrıca okul yolunda ışık yok çocuklar korkuyor.",Sokak Aydınlatması
engelli rampası yok tekelekli sandalye geçemiyor.,Yol ve Kaldırım
"Pes yani, evimizin tam önünde hurdacılar sabaha karşı gürültü yapıyor. Acil çözün şunu!",Gürültü ve Çevre Kirliliği
YAHU MAHALLEMIZDE SORUN VAR; DURAKTA IŞIK YOK GECE BEKLEYEMIYORUZ.,Sokak Aydınlatması
"Allah aşkına, oyun grubunun zemini bozuk çocuklar düşüyor, çocuklar etkileniyor. Artık bir şey yapın!",Park ve Yeşil Alan
"Valla biktik, pazardan sonra ortalik copluk oluyor temizleyen yok. Vergimizi ne icin veriyoruz?",Çöp ve Temizlik
Minibüsler tıka basa dolu binilmiyor. Bu kadarına da pes,Toplu Ulaşım
"Of ya, su sayacı arızalı fatura uçtu. Acil çözün şunu!",Su ve Kanalizasyon
"Spor aletleri bozulmuş kimse tamir etmiyor, ayrıca oyun grubunun zemini bozuk çocuklar düşüyor",Park ve Yeşil Alan
okul servisi gibi otobüs sabah hep dolu geliyor. Artık bir şey yapın!,Toplu Ulaşım
"Yahu okul önünde köpek sürüsü var veli tedirgin, ayrıca pazar yerinin orada başıboş köpekler uzun süredir korku saçıyor.",Başıboş Hayvanlar
Metro çıkışında sorun var; egzoz ve tozdan pencere açamıyoruz.,Gürültü ve Çevre Kirliliği
"Valla bıktık, atık konteyneri yanlış yere konmuş kapımızı kapatıyor, rezil olduk. Artık bir şey yapın!",Çöp ve Temizlik
Duragin yanında sorun var; kafelerin masaları geceleri çok gürültülü.,Gürültü ve Çevre Kirliliği
"kaldırım o kadar dar ki arabayla geçilmiyor, defalarca aradık sonuç yok. Acil çözün şunu",Yol ve Kaldırım
"Yeter ama, çöp kamyonu aylardır mahalleye uğramıyor, ayrıca çöp konteynerleri ağzına kadar dolmuş taşıyor.",Çöp ve Temizlik
"PES YANI, DURAGIN YANINDA SORUN VAR; YENI DIREKLERE IŞIK TAKILMAMIŞ.",Sokak Aydınlatması
"Bakın, caminin arka sokağında sokak lambaları haftalardır yanmıyor, ayrıcaa durakta ışık yok gece bekleyemiyoruz.",Sokak Aydınlatması
"Of ya, tuvalet geri tepiyor kanalizasyon dolu.",Su ve Kanalizasyon
"Yeter ama, apartmanın önünde mazgal kapağı yok açık duruyor. Bu kadarına da pes!",Yol ve Kaldırım
"Çöp konteynerleri ağzına kadar dolmuş taşıyor, ayrıca ana cadde uzerinde çöpler birikti leş gibi kokuyor",Çöp ve Temizlik
Site girişinde sorun var; köşedeki bakkalin önünde lamba patlamış aylardır değişen yok.,Sokak Aydınlatması
HER YAGMURDA EVI SU BASIYOR GIDER TIKALI,Su ve Kanalizasyon
su borusu ptlamış cadde sular altında.,Su ve Kanalizasyon
"Pes yani, ana caddenin yarısı karanlık yürümek korkutucu, sağlığımız tehlikede. Bir an önce ilgilenilsin.",Sokak Aydınlatması
"yahu durakta tabela yok hangi hat gecer belli degil, ayrica kart dolum noktasi geceleri calismiyor.",Toplu Ulaşım
Sokak sabahtan akşama süpürülmyor her yer kir.,Çöp ve Temizlik
"Allah aşkına, park bakımsız her yer çöp ve cam kırığı. Bir an önce ilgilenilsin",Park ve Yeşil Alan
"Bıktık artık, okul yolunda ışık yok çocuklar korkuyor. Bir an önce ilgilenilsin.",Sokak Aydınlatması
"kafelerin masaları geceleri çok gürültülü, ayrıca fabrika bacasından duman havayı kirletiyor.",Gürültü ve Çevre Kirliliği
